"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.multfun.tk/blog/post/multnews1/onward.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3607490","0","0.0","4","","0","0","0.0","0","0","0","0","","0.399","","","","https://www.multfun.tk/blog/post/multnews1/onward.png"
"https://www.multfun.tk/blog/post/newyear/","text/html; charset=UTF-8","200","OK","Indexable","","MULTBLOG - Новий рік з Multfun","30","297","","0","0","добірка різдвяних серій, футурама, гріфіни, південний парк, рік та морті","72","☰","1","← Про сайт","10","","0","1) Документальне підтвердження Ваших прав на матеріал, захищений авторським правом.","83","","","","","","","","","12629","445","30.085081","4","","7","1","3.23","17","7","3","3","9d656215e5ffb00f9022ee0d1cf3b5f","0.349","","","","https://www.multfun.tk/blog/post/newyear/"
"https://www.multfun.tk/cartoons/southpark/cartoons/brickleberry","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","4","","1","1","3.23","0","0","0","0","","0.275","","","","https://www.multfun.tk/cartoons/southpark/cartoons/brickleberry"
"https://www.multfun.tk/blog/post/multnews1/stevenuniverse.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1572218","0","0.0","4","","0","0","0.0","0","0","0","0","","0.407","","","","https://www.multfun.tk/blog/post/multnews1/stevenuniverse.png"
"https://www.multfun.tk/cartoons/infinitytrain","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","4","","10","10","32.26","0","0","0","0","","0.289","","https://www.multfun.tk/cartoons/infinitytrain/","HTTP Redirect","https://www.multfun.tk/cartoons/infinitytrain"
"https://www.multfun.tk/blog/post/multnews1/soul.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1479329","0","0.0","4","","0","0","0.0","0","0","0","0","","0.303","","","","https://www.multfun.tk/blog/post/multnews1/soul.png"
"https://www.multfun.tk/blog/post/multnews1/samurayjack.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","2268024","0","0.0","4","","0","0","0.0","0","0","0","0","","0.566","","","","https://www.multfun.tk/blog/post/multnews1/samurayjack.png"
"https://www.multfun.tk/blog/post/multnews1/mulan.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","2273314","0","0.0","4","","0","0","0.0","0","0","0","0","","0.441","","","","https://www.multfun.tk/blog/post/multnews1/mulan.png"
"https://www.multfun.tk/blog/post/helloween/simpsons.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","2032324","0","0.0","5","","0","0","0.0","0","0","0","0","","0.407","","","","https://www.multfun.tk/blog/post/helloween/simpsons.png"
"https://www.multfun.tk/blog/post/helloween/southpark.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1559781","0","0.0","5","","0","0","0.0","0","0","0","0","","0.424","","","","https://www.multfun.tk/blog/post/helloween/southpark.png"
"https://www.multfun.tk/blog/post/newyear/southpark.jpeg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","285225","0","0.0","5","","0","0","0.0","0","0","0","0","","0.566","","","","https://www.multfun.tk/blog/post/newyear/southpark.jpeg"
"https://www.multfun.tk/blog/post/helloween/gravityfalls.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","903291","0","0.0","5","","0","0","0.0","0","0","0","0","","0.497","","","","https://www.multfun.tk/blog/post/helloween/gravityfalls.png"
"https://www.multfun.tk/blog/post/update/update.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1495767","0","0.0","5","","0","0","0.0","0","0","0","0","","0.276","","","","https://www.multfun.tk/blog/post/update/update.png"
"https://www.multfun.tk/blog/post/newyear/rickandmorty.jpeg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","373747","0","0.0","5","","0","0","0.0","0","0","0","0","","0.381","","","","https://www.multfun.tk/blog/post/newyear/rickandmorty.jpeg"
"https://www.multfun.tk/blog/post/newyear/familyguy.jpeg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","310145","0","0.0","5","","0","0","0.0","0","0","0","0","","0.468","","","","https://www.multfun.tk/blog/post/newyear/familyguy.jpeg"
"https://www.multfun.tk/blog/post/newyear/futurama.jpeg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","328602","0","0.0","5","","0","0","0.0","0","0","0","0","","0.362","","","","https://www.multfun.tk/blog/post/newyear/futurama.jpeg"
